Overall: 
SDC: 13.560172638763424%
Benign: 43.751881963264076%
Crash: 42.6879453979725%
Breakdown: 
-- FI Index: 597, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 6
-- FI Index: 86, SDC: 0.5714285714285714, Benign: 0.42857142857142855, Crash: 0.0, Total FI: 7
-- FI Index: 1111, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 10
-- FI Index: 600, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 13
-- FI Index: 1124, SDC: 0.5909090909090909, Benign: 0.4090909090909091, Crash: 0.0, Total FI: 44
-- FI Index: 90, SDC: 0.45454545454545453, Benign: 0.5454545454545454, Crash: 0.0, Total FI: 11
-- FI Index: 91, SDC: 0.17647058823529413, Benign: 0.8235294117647058, Crash: 0.0, Total FI: 17
-- FI Index: 1117, SDC: 0.2857142857142857, Benign: 0.14285714285714285, Crash: 0.5714285714285714, Total FI: 7
-- FI Index: 606, SDC: 0.6119402985074627, Benign: 0.3880597014925373, Crash: 0.0, Total FI: 67
-- FI Index: 607, SDC: 0.0, Benign: 0.02564102564102564, Crash: 0.9743589743589743, Total FI: 78
-- FI Index: 96, SDC: 0.17647058823529413, Benign: 0.8235294117647058, Crash: 0.0, Total FI: 68
-- FI Index: 97, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 57
-- FI Index: 610, SDC: 0.07547169811320754, Benign: 0.18867924528301888, Crash: 0.7358490566037735, Total FI: 53
-- FI Index: 1123, SDC: 0.36585365853658536, Benign: 0.6341463414634146, Crash: 0.0, Total FI: 41
-- FI Index: 612, SDC: 0.15789473684210525, Benign: 0.8421052631578947, Crash: 0.0, Total FI: 76
-- FI Index: 613, SDC: 0.8923076923076924, Benign: 0.1076923076923077, Crash: 0.0, Total FI: 65
-- FI Index: 1126, SDC: 0.02564102564102564, Benign: 0.1794871794871795, Crash: 0.7948717948717948, Total FI: 39
-- FI Index: 1127, SDC: 0.08695652173913043, Benign: 0.13043478260869565, Crash: 0.782608695652174, Total FI: 46
-- FI Index: 616, SDC: 0.75, Benign: 0.25, Crash: 0.0, Total FI: 8
-- FI Index: 1129, SDC: 0.1388888888888889, Benign: 0.8611111111111112, Crash: 0.0, Total FI: 36
-- FI Index: 1130, SDC: 0.6382978723404256, Benign: 0.3617021276595745, Crash: 0.0, Total FI: 47
-- FI Index: 1211, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 1
-- FI Index: 620, SDC: 0.4, Benign: 0.2, Crash: 0.4, Total FI: 5
-- FI Index: 621, SDC: 0.8181818181818182, Benign: 0.18181818181818182, Crash: 0.0, Total FI: 11
-- FI Index: 110, SDC: 0.2857142857142857, Benign: 0.2857142857142857, Crash: 0.42857142857142855, Total FI: 7
-- FI Index: 957, SDC: 0.3333333333333333, Benign: 0.0, Crash: 0.6666666666666666, Total FI: 3
-- FI Index: 112, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 10
-- FI Index: 625, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 1
-- FI Index: 1119, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 7
-- FI Index: 702, SDC: 0.0, Benign: 0.1111111111111111, Crash: 0.8888888888888888, Total FI: 9
-- FI Index: 105, SDC: 0.1111111111111111, Benign: 0.8888888888888888, Crash: 0.0, Total FI: 9
-- FI Index: 55, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 1
-- FI Index: 1215, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 2
-- FI Index: 106, SDC: 0.625, Benign: 0.0, Crash: 0.375, Total FI: 8
-- FI Index: 1151, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 6
-- FI Index: 1152, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 11
-- FI Index: 1153, SDC: 0.4, Benign: 0.0, Crash: 0.6, Total FI: 5
-- FI Index: 1154, SDC: 0.2, Benign: 0.0, Crash: 0.8, Total FI: 5
-- FI Index: 1155, SDC: 0.14285714285714285, Benign: 0.0, Crash: 0.8571428571428571, Total FI: 7
-- FI Index: 1156, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 3
-- FI Index: 1157, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 5
-- FI Index: 1158, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 7
-- FI Index: 1159, SDC: 0.0, Benign: 0.6666666666666666, Crash: 0.3333333333333333, Total FI: 3
-- FI Index: 1161, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 3
-- FI Index: 535, SDC: 0.0, Benign: 0.42857142857142855, Crash: 0.5714285714285714, Total FI: 7
-- FI Index: 1165, SDC: 0.04, Benign: 0.0, Crash: 0.96, Total FI: 25
-- FI Index: 1166, SDC: 0.17647058823529413, Benign: 0.11764705882352941, Crash: 0.7058823529411765, Total FI: 17
-- FI Index: 655, SDC: 0.0, Benign: 0.5967741935483871, Crash: 0.4032258064516129, Total FI: 62
-- FI Index: 1168, SDC: 0.12, Benign: 0.04, Crash: 0.84, Total FI: 25
-- FI Index: 657, SDC: 0.0, Benign: 0.07575757575757576, Crash: 0.9242424242424242, Total FI: 66
-- FI Index: 658, SDC: 0.0, Benign: 0.06493506493506493, Crash: 0.935064935064935, Total FI: 77
-- FI Index: 1171, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 15
-- FI Index: 660, SDC: 0.0, Benign: 0.18571428571428572, Crash: 0.8142857142857143, Total FI: 70
-- FI Index: 622, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 4
-- FI Index: 662, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 73
-- FI Index: 663, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 67
-- FI Index: 1176, SDC: 0.125, Benign: 0.0, Crash: 0.875, Total FI: 24
-- FI Index: 1177, SDC: 0.25, Benign: 0.75, Crash: 0.0, Total FI: 12
-- FI Index: 1178, SDC: 0.5714285714285714, Benign: 0.42857142857142855, Crash: 0.0, Total FI: 14
-- FI Index: 111, SDC: 0.6666666666666666, Benign: 0.3333333333333333, Crash: 0.0, Total FI: 6
-- FI Index: 670, SDC: 0.0, Benign: 0.5555555555555556, Crash: 0.4444444444444444, Total FI: 9
-- FI Index: 671, SDC: 0.0, Benign: 0.8888888888888888, Crash: 0.1111111111111111, Total FI: 9
-- FI Index: 672, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 9
-- FI Index: 1188, SDC: 0.22727272727272727, Benign: 0.09090909090909091, Crash: 0.6818181818181818, Total FI: 22
-- FI Index: 1189, SDC: 0.13636363636363635, Benign: 0.0, Crash: 0.8636363636363636, Total FI: 22
-- FI Index: 1190, SDC: 0.125, Benign: 0.0, Crash: 0.875, Total FI: 16
-- FI Index: 1191, SDC: 0.0, Benign: 0.058823529411764705, Crash: 0.9411764705882353, Total FI: 17
-- FI Index: 1192, SDC: 0.0, Benign: 0.15, Crash: 0.85, Total FI: 20
-- FI Index: 1193, SDC: 0.05263157894736842, Benign: 0.3157894736842105, Crash: 0.631578947368421, Total FI: 19
-- FI Index: 1194, SDC: 0.6, Benign: 0.4, Crash: 0.0, Total FI: 20
-- FI Index: 1195, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 8
-- FI Index: 1196, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 14
-- FI Index: 1201, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 4
-- FI Index: 45, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 2
-- FI Index: 699, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 7
-- FI Index: 700, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 8
-- FI Index: 1214, SDC: 0.5, Benign: 0.0, Crash: 0.5, Total FI: 2
-- FI Index: 703, SDC: 0.0, Benign: 0.3333333333333333, Crash: 0.6666666666666666, Total FI: 3
-- FI Index: 1216, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 1
-- FI Index: 705, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 3
-- FI Index: 706, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 5
-- FI Index: 971, SDC: 0.3333333333333333, Benign: 0.16666666666666666, Crash: 0.5, Total FI: 6
-- FI Index: 708, SDC: 0.1111111111111111, Benign: 0.4444444444444444, Crash: 0.4444444444444444, Total FI: 9
-- FI Index: 100, SDC: 0.125, Benign: 0.0, Crash: 0.875, Total FI: 8
-- FI Index: 1223, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 9
-- FI Index: 1224, SDC: 0.2, Benign: 0.8, Crash: 0.0, Total FI: 10
-- FI Index: 1225, SDC: 0.4, Benign: 0.6, Crash: 0.0, Total FI: 5
-- FI Index: 1226, SDC: 0.1111111111111111, Benign: 0.0, Crash: 0.8888888888888888, Total FI: 9
-- FI Index: 1227, SDC: 0.25, Benign: 0.625, Crash: 0.125, Total FI: 8
-- FI Index: 717, SDC: 0.08333333333333333, Benign: 0.25, Crash: 0.6666666666666666, Total FI: 12
-- FI Index: 718, SDC: 0.2, Benign: 0.2, Crash: 0.6, Total FI: 5
-- FI Index: 1229, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 1
-- FI Index: 720, SDC: 0.0, Benign: 0.6666666666666666, Crash: 0.3333333333333333, Total FI: 6
-- FI Index: 993, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 7
-- FI Index: 723, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 5
-- FI Index: 725, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 13
-- FI Index: 726, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 5
-- FI Index: 731, SDC: 0.025, Benign: 0.275, Crash: 0.7, Total FI: 40
-- FI Index: 732, SDC: 0.0, Benign: 0.25, Crash: 0.75, Total FI: 40
-- FI Index: 1235, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 2
-- FI Index: 721, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 2
-- FI Index: 1218, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 2
-- FI Index: 1106, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 3
-- FI Index: 753, SDC: 0.022222222222222223, Benign: 0.15555555555555556, Crash: 0.8222222222222222, Total FI: 45
-- FI Index: 754, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 39
-- FI Index: 755, SDC: 0.020833333333333332, Benign: 0.0, Crash: 0.9791666666666666, Total FI: 48
-- FI Index: 757, SDC: 0.14035087719298245, Benign: 0.8596491228070176, Crash: 0.0, Total FI: 57
-- FI Index: 758, SDC: 0.0, Benign: 0.28, Crash: 0.72, Total FI: 50
-- FI Index: 759, SDC: 0.0, Benign: 0.3728813559322034, Crash: 0.6271186440677966, Total FI: 59
-- FI Index: 760, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 40
-- FI Index: 761, SDC: 0.375, Benign: 0.625, Crash: 0.0, Total FI: 40
-- FI Index: 763, SDC: 0.03773584905660377, Benign: 0.18867924528301888, Crash: 0.7735849056603774, Total FI: 53
-- FI Index: 768, SDC: 0.0, Benign: 0.9169139465875371, Crash: 0.0830860534124629, Total FI: 337
-- FI Index: 769, SDC: 0.05763688760806916, Benign: 0.4610951008645533, Crash: 0.4812680115273775, Total FI: 347
-- FI Index: 770, SDC: 0.10743801652892562, Benign: 0.8925619834710744, Crash: 0.0, Total FI: 363
-- FI Index: 771, SDC: 0.0, Benign: 0.22388059701492538, Crash: 0.7761194029850746, Total FI: 335
-- FI Index: 772, SDC: 0.002976190476190476, Benign: 0.24107142857142858, Crash: 0.7559523809523809, Total FI: 336
-- FI Index: 773, SDC: 0.02680965147453083, Benign: 0.9731903485254692, Crash: 0.0, Total FI: 373
-- FI Index: 774, SDC: 0.027439024390243903, Benign: 0.9725609756097561, Crash: 0.0, Total FI: 328
-- FI Index: 776, SDC: 0.014814814814814815, Benign: 0.0, Crash: 0.9851851851851852, Total FI: 135
-- FI Index: 777, SDC: 0.00819672131147541, Benign: 0.05737704918032787, Crash: 0.9344262295081968, Total FI: 122
-- FI Index: 778, SDC: 0.015503875968992248, Benign: 0.21705426356589147, Crash: 0.7674418604651163, Total FI: 129
-- FI Index: 779, SDC: 0.05084745762711865, Benign: 0.2627118644067797, Crash: 0.6864406779661016, Total FI: 118
-- FI Index: 780, SDC: 0.3006993006993007, Benign: 0.6993006993006993, Crash: 0.0, Total FI: 143
-- FI Index: 781, SDC: 0.00684931506849315, Benign: 0.0547945205479452, Crash: 0.9383561643835616, Total FI: 146
-- FI Index: 782, SDC: 0.014925373134328358, Benign: 0.05970149253731343, Crash: 0.9253731343283582, Total FI: 134
-- FI Index: 783, SDC: 0.0, Benign: 0.2391304347826087, Crash: 0.7608695652173914, Total FI: 138
-- FI Index: 784, SDC: 0.0, Benign: 0.2302158273381295, Crash: 0.7697841726618705, Total FI: 139
-- FI Index: 785, SDC: 0.00847457627118644, Benign: 0.9915254237288136, Crash: 0.0, Total FI: 118
-- FI Index: 786, SDC: 0.28695652173913044, Benign: 0.7130434782608696, Crash: 0.0, Total FI: 115
-- FI Index: 787, SDC: 0.39568345323741005, Benign: 0.60431654676259, Crash: 0.0, Total FI: 139
-- FI Index: 46, SDC: 0.08333333333333333, Benign: 0.0, Crash: 0.9166666666666666, Total FI: 12
-- FI Index: 1303, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 3
-- FI Index: 559, SDC: 0.0, Benign: 0.75, Crash: 0.25, Total FI: 8
-- FI Index: 1310, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 3
-- FI Index: 799, SDC: 0.041666666666666664, Benign: 0.25, Crash: 0.7083333333333334, Total FI: 24
-- FI Index: 801, SDC: 0.02702702702702703, Benign: 0.10810810810810811, Crash: 0.8648648648648649, Total FI: 37
-- FI Index: 802, SDC: 0.0, Benign: 0.25806451612903225, Crash: 0.7419354838709677, Total FI: 31
-- FI Index: 805, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 31
-- FI Index: 806, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 36
-- FI Index: 808, SDC: 0.0, Benign: 0.06896551724137931, Crash: 0.9310344827586207, Total FI: 29
-- FI Index: 809, SDC: 0.0, Benign: 0.09090909090909091, Crash: 0.9090909090909091, Total FI: 33
-- FI Index: 811, SDC: 0.03125, Benign: 0.65625, Crash: 0.3125, Total FI: 32
-- FI Index: 50, SDC: 0.09090909090909091, Benign: 0.9090909090909091, Crash: 0.0, Total FI: 11
-- FI Index: 1101, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 3
-- FI Index: 816, SDC: 0.0, Benign: 0.050505050505050504, Crash: 0.9494949494949495, Total FI: 99
